harmonic1,percussiv1,harmonic2,percussiv2,harmonic3,percussiv3,harmonic4,percussiv4,harmonic5,percussiv5,harmonic6,percussiv6,harmonic7,percussiv7,harmonic8,percussiv8,harmonic9,percussiv9,harmonic10,percussiv10,harmonic11,percussiv11,harmonic12,percussiv12,class
0.68189216,0.48939008,0.7182569,0.49148446,0.727598,0.5218113,0.75014955,0.5844675,0.87015855,0.6116929,0.7461115,0.6020529,0.68413347,0.5749121,0.6245917,0.6001852,0.73851645,0.6470346,0.71122366,0.60580593,0.6026292,0.56308883,0.596157,0.4816067,1
0.47393665,0.57539403,0.51900464,0.6052075,0.5753711,0.60771424,0.5968663,0.5703718,0.80332816,0.5860463,0.7133847,0.5920343,0.6577904,0.6043508,0.51889205,0.65464795,0.58508855,0.67570245,0.648892,0.67485166,0.47098783,0.6006974,0.44193932,0.56036687,1
0.70400375,0.7103088,0.72615397,0.74764043,0.73698896,0.8121011,0.77328867,0.7624991,0.7922998,0.72213286,0.7533668,0.6404761,0.6772632,0.56132376,0.64191806,0.5629482,0.7358026,0.5577257,0.7087879,0.56445944,0.63307434,0.59397936,0.6442938,0.66648865,1
0.64477706,0.7263477,0.6766479,0.65875614,0.68703306,0.6230054,0.7387617,0.6719528,0.9272175,0.637164,0.73320043,0.639442,0.64520144,0.6433103,0.56353664,0.64501613,0.5832806,0.6227445,0.59915787,0.6075971,0.56418836,0.6149265,0.5789354,0.6789305,1
0.3113084,0.6383499,0.39718854,0.5985102,0.39867947,0.59837365,0.4415596,0.5799636,0.9053066,0.6911515,0.5182378,0.5723653,0.5618147,0.54300606,0.34070498,0.5749378,0.31526467,0.5279494,0.2980287,0.49880382,0.26455805,0.56784385,0.26585162,0.60159373,1
0.6288505,0.50147206,0.64207894,0.55723375,0.6709361,0.57733715,0.73887885,0.49395743,0.72461426,0.49468815,0.6674514,0.5336026,0.6260998,0.5833204,0.6767947,0.5928698,0.7234939,0.6159232,0.66364205,0.5471178,0.59212565,0.49747485,0.5983564,0.46978,1
0.45724002,0.6957197,0.48509282,0.6552395,0.5265876,0.6470813,0.610527,0.69683623,0.6358113,0.62029386,0.52377623,0.6232307,0.46441382,0.60357535,0.49222544,0.5601418,0.80490243,0.56418234,0.5040632,0.66051966,0.40725395,0.6787369,0.4195867,0.6237865,1
0.5409052,0.67158026,0.5796953,0.67044044,0.6111466,0.6704705,0.6594416,0.6811706,0.708549,0.66737765,0.7437405,0.6594236,0.6662376,0.63241553,0.6100482,0.7296375,0.808408,0.67986363,0.6247245,0.61896825,0.5183401,0.60712564,0.4903145,0.6348347,1
0.5079132,0.72485214,0.49489194,0.689745,0.5633549,0.6073811,0.5101532,0.6250285,0.5888824,0.6210467,0.5517884,0.5877766,0.52434975,0.51847833,0.43582076,0.5238226,0.55981463,0.6274408,0.76913065,0.61520815,0.71555156,0.5642383,0.62321293,0.6315451,1
0.65104777,0.6779297,0.6620934,0.6265042,0.696706,0.61735123,0.72332567,0.6479609,0.7058461,0.6613465,0.663071,0.6949795,0.6041198,0.6674836,0.6159619,0.6608043,0.8300483,0.59241796,0.6823574,0.5410917,0.5792711,0.52973247,0.5973312,0.5684237,1
0.51416034,0.53613216,0.46824294,0.5610977,0.45421717,0.55365735,0.4462534,0.5937784,0.4562174,0.63746905,0.45494384,0.63715166,0.46933347,0.66176873,0.5569166,0.59246296,0.8763961,0.635823,0.7361444,0.7097879,0.58607036,0.560464,0.5282756,0.49853534,1
0.55621487,0.60616904,0.5678475,0.60114336,0.56587917,0.63493305,0.603881,0.72458357,0.596585,0.7657984,0.5623749,0.7735786,0.538235,0.66435444,0.59736526,0.6463924,0.79989237,0.68626684,0.67773354,0.7022405,0.54257035,0.58813894,0.52790016,0.5716291,1
0.61101633,0.6320996,0.63729787,0.5953575,0.6399198,0.5756258,0.6921618,0.55770504,0.92596525,0.5679306,0.72809124,0.60828054,0.66708905,0.6198353,0.5682196,0.6516264,0.63882387,0.61777884,0.62167555,0.6131789,0.5442846,0.5659446,0.55124646,0.59371793,1
0.686554,0.7088217,0.74463046,0.65433115,0.79162145,0.6424339,0.8568249,0.6360006,0.89467424,0.6644611,0.83186036,0.689053,0.76702577,0.6563595,0.7056268,0.6815083,0.69719887,0.649438,0.6959717,0.6343777,0.63819313,0.642966,0.6237424,0.69172436,1
0.42162162,0.50053555,0.4529916,0.47895193,0.49502382,0.49251983,0.50571704,0.59222704,0.50236857,0.5935575,0.5699754,0.60522753,0.54021657,0.5690695,0.55884016,0.6298985,0.78422904,0.6657677,0.44708863,0.68059605,0.46387893,0.6052232,0.41380623,0.5202807,1
0.5957083,0.5981423,0.58364373,0.580255,0.54229254,0.5832466,0.5651321,0.54919773,0.60172564,0.5452829,0.6080581,0.53235483,0.57104975,0.5124468,0.50171095,0.6644759,0.7788279,0.6113049,0.68996555,0.6002646,0.6059549,0.55471283,0.5884233,0.5639726,1
0.73062384,0.5428733,0.7314306,0.5311549,0.7317829,0.5421864,0.78366184,0.55574703,0.75017816,0.5972968,0.69819516,0.66140854,0.68632084,0.71683,0.6869177,0.6272554,0.6930208,0.602644,0.6583721,0.60732985,0.64476544,0.53167915,0.68823344,0.54444504,1
0.42937154,0.5129362,0.4333393,0.4870836,0.47631028,0.48819014,0.49164712,0.5305424,0.56360704,0.5260611,0.53152746,0.5173605,0.510823,0.50116515,0.50485784,0.5546806,0.7103918,0.7289223,0.84393,0.7124081,0.58319366,0.58489716,0.4334387,0.5307753,1
0.39925632,0.569273,0.3485615,0.57674956,0.30631047,0.59760755,0.31677267,0.58382994,0.35758522,0.5978294,0.37222221,0.6139993,0.36724865,0.6644973,0.3085292,0.5641443,0.5586105,0.54910773,0.8431055,0.5885309,0.45341638,0.5187926,0.33074906,0.51452374,1
0.67703503,0.51900953,0.7207773,0.521769,0.7376185,0.57989126,0.73701286,0.64978373,0.7338522,0.68862826,0.6867871,0.73509943,0.62778234,0.63263625,0.60720396,0.62294286,0.72556126,0.65368426,0.5668967,0.67187,0.55551785,0.61976284,0.6048918,0.5441582,1
0.25357398,0.5728991,0.2617245,0.5657702,0.27920622,0.5686236,0.43199417,0.5562152,0.4886184,0.56526524,0.37416497,0.62622076,0.33975154,0.73082423,0.44441205,0.68506026,0.75517505,0.68041474,0.59773576,0.6144979,0.493722,0.582947,0.29703942,0.57375336,1
0.37236473,0.5845768,0.33708206,0.5996632,0.343492,0.5940163,0.43306017,0.5941139,0.48289806,0.5754923,0.41976115,0.55144763,0.37452486,0.56295943,0.41942072,0.63811594,0.8920192,0.6569151,0.5330419,0.6797012,0.3468337,0.60062695,0.34364545,0.5783307,1
0.29505172,0.7150258,0.30216444,0.6828023,0.31542498,0.72242224,0.40516827,0.74508405,0.44174412,0.70195794,0.4184987,0.6284174,0.37005183,0.56997156,0.45547563,0.576821,0.92283976,0.54533225,0.48326218,0.5788949,0.30699563,0.61429185,0.27579734,0.6871777,1
0.47716978,0.5896642,0.45724347,0.59275556,0.43586293,0.6061655,0.49346226,0.6145785,0.5984569,0.61638474,0.5621383,0.68699,0.57259065,0.67341465,0.49443817,0.6251025,0.7497122,0.6164674,0.91240793,0.6099189,0.49612916,0.5710033,0.43874082,0.58160883,1
0.30313697,0.5823098,0.31754106,0.53368026,0.3712641,0.5261759,0.49636602,0.5491712,0.5811992,0.55682796,0.6772162,0.52175,0.48879206,0.5677513,0.3548592,0.6228717,0.6041103,0.631921,0.37313232,0.5978024,0.24037448,0.65343535,0.2557097,0.6756512,1
0.46537486,0.63883466,0.47438768,0.6572259,0.4872918,0.70551646,0.50737584,0.69861346,0.5208976,0.7141144,0.53901356,0.7361092,0.51115674,0.7586966,0.52861625,0.6976682,0.9008925,0.61850744,0.5631881,0.58580333,0.4205686,0.5896415,0.4299406,0.6328488,1
0.5712091,0.5188684,0.61178786,0.51157564,0.63668567,0.5255506,0.6602122,0.5429277,0.6698226,0.56833136,0.6442109,0.5782768,0.5984776,0.54956436,0.6155518,0.52435833,0.8123694,0.5227413,0.5418484,0.67147166,0.47719556,0.71959513,0.50208193,0.5579979,1
0.30061033,0.6018026,0.29190782,0.54991794,0.29689085,0.5540089,0.32017207,0.6208749,0.32777345,0.62289757,0.3164566,0.6290422,0.2901127,0.5916135,0.40361845,0.6132734,0.952372,0.5990336,0.40045583,0.6474513,0.28032768,0.63530165,0.29131505,0.60477513,1
0.44575778,0.57131845,0.41858473,0.5634044,0.4119376,0.5552704,0.4632182,0.56305087,0.4719536,0.59492755,0.46047732,0.61682177,0.40717658,0.61814636,0.4535322,0.59929603,0.87590945,0.6305622,0.46103728,0.6919846,0.38021106,0.5982392,0.4206735,0.5368209,1
0.54560065,0.5340658,0.57407004,0.5600585,0.6139641,0.6283705,0.6249742,0.6982083,0.61465305,0.7202783,0.5520714,0.6669483,0.538297,0.6782978,0.5872711,0.6632914,0.6661124,0.6279819,0.6543361,0.55627495,0.56728745,0.5206414,0.5484868,0.5149366,1
0.6488239,0.6325767,0.67557794,0.62846875,0.7155704,0.6061026,0.77182084,0.6177404,0.82083243,0.67642456,0.73139834,0.68369997,0.6467529,0.66444546,0.69246227,0.67327935,0.79432297,0.6317658,0.7066906,0.6763219,0.6711376,0.7070088,0.6739142,0.6300509,1
