harmonic1,percussiv1,harmonic2,percussiv2,harmonic3,percussiv3,harmonic4,percussiv4,harmonic5,percussiv5,harmonic6,percussiv6,harmonic7,percussiv7,harmonic8,percussiv8,harmonic9,percussiv9,harmonic10,percussiv10,harmonic11,percussiv11,harmonic12,percussiv12,class
0.68120277,0.67893517,0.7512273,0.63044953,0.81623054,0.66291374,0.8663309,0.66606295,0.91587263,0.6319342,0.9252621,0.5822743,0.8981325,0.5755359,0.85317767,0.567491,0.7912399,0.538159,0.74629384,0.54069394,0.6892778,0.6032018,0.6334848,0.7047823,-1
0.776969,0.60599095,0.8431362,0.58055145,0.89698446,0.5878156,0.9460335,0.6308904,0.97743624,0.6745577,0.9646992,0.7184854,0.90775675,0.6253677,0.84873164,0.64606386,0.79185027,0.683237,0.74008507,0.71902597,0.6909155,0.6953369,0.67872185,0.6414493,-1
0.6402802,0.60487115,0.7500399,0.557464,0.84845203,0.576452,0.8727515,0.6154413,0.91292566,0.63985187,0.9338467,0.75301164,0.8901403,0.735234,0.8269629,0.643789,0.75812936,0.6152677,0.69604677,0.60737157,0.6324781,0.5542735,0.5818598,0.5679559,-1
0.73579156,0.59536624,0.8182269,0.60018533,0.88755804,0.63841206,0.94501096,0.7012369,0.9742973,0.7377872,0.96023566,0.7235352,0.9080176,0.6228556,0.84300274,0.50947565,0.7730766,0.480914,0.71016306,0.5342124,0.65371066,0.5415092,0.63536626,0.5586471,-1
0.4356473,0.5344128,0.5611647,0.53824204,0.6267435,0.56983,0.7698641,0.5719711,0.9626907,0.5970188,0.6827866,0.5979819,0.58630216,0.5767381,0.50553006,0.6557508,0.44678986,0.5781376,0.4159878,0.63120496,0.45788324,0.5388716,0.42626923,0.5138326,-1
0.6119488,0.63609535,0.71066386,0.60850674,0.79803044,0.6358339,0.8722101,0.64622474,0.9514198,0.6697873,0.9080324,0.7049457,0.8807501,0.7156214,0.827116,0.64995265,0.7692093,0.652869,0.73668885,0.66087717,0.6201896,0.69164675,0.5349319,0.65973896,-1
0.64808995,0.5204978,0.74258894,0.52075577,0.8285045,0.5785604,0.87921256,0.58628696,0.94844073,0.6601483,0.94275117,0.69031876,0.89405364,0.6618896,0.8374714,0.68037313,0.7737944,0.6682255,0.76618075,0.67762667,0.6475184,0.62005466,0.5645608,0.5378838,-1
0.7379738,0.51505816,0.8105719,0.55241317,0.86505675,0.6242091,0.9126997,0.6607888,0.9435266,0.65281415,0.9382326,0.65329874,0.889113,0.60004056,0.81137985,0.6061071,0.7312735,0.5730078,0.6766266,0.6087838,0.642432,0.5874633,0.6380389,0.52356434,-1
0.61624926,0.57717234,0.6858306,0.5703041,0.7700716,0.58829284,0.8443386,0.6556382,0.919482,0.7113329,0.87865794,0.7256143,0.8275163,0.7086025,0.7789233,0.6434497,0.7014318,0.568681,0.6146226,0.52313745,0.56346166,0.50556904,0.55379015,0.5361553,-1
0.63365877,0.62614137,0.6944916,0.6382559,0.80241317,0.68707114,0.8462228,0.68317324,0.9020723,0.69520193,0.8883354,0.71204656,0.78716964,0.7523258,0.7865614,0.729134,0.7267514,0.6735909,0.6957136,0.6802102,0.6132141,0.64479965,0.5718443,0.6042677,-1
0.7689569,0.66980356,0.84247094,0.66773254,0.9007662,0.7097,0.9386761,0.72452635,0.9561535,0.7996553,0.9490759,0.78704065,0.89240927,0.7174221,0.8379978,0.7605305,0.7875798,0.7495844,0.74565595,0.70476764,0.6927393,0.7004977,0.67382944,0.67351794,-1
0.7797751,0.73214155,0.83946747,0.6636088,0.87472475,0.66519505,0.9000753,0.6947428,0.9122754,0.72033226,0.8875398,0.7157472,0.82878965,0.6890724,0.7890928,0.6722008,0.7600487,0.6646482,0.73797095,0.6705641,0.69329447,0.65138155,0.68690413,0.7140326,-1
0.6289906,0.5899783,0.73948056,0.6484841,0.7686211,0.72742885,0.79763675,0.78101754,0.84779066,0.78241915,0.8763899,0.75957376,0.85238874,0.6087903,0.76696056,0.5910785,0.7341501,0.5039337,0.6906725,0.47360212,0.60352665,0.48361456,0.54844403,0.5183639,-1
0.7524838,0.72153217,0.8111614,0.6787767,0.85257775,0.70745474,0.89578515,0.7179622,0.92744344,0.7034987,0.9145676,0.65273887,0.848134,0.6753273,0.7937494,0.7118706,0.7442885,0.748345,0.70424587,0.7389116,0.67548865,0.75424093,0.6527766,0.76726115,-1
0.72464913,0.73575515,0.78996396,0.7009253,0.84391516,0.6960285,0.89130026,0.7048081,0.9193377,0.6931116,0.908983,0.73271537,0.86261696,0.72020555,0.81279254,0.70847267,0.76718956,0.71082693,0.7251496,0.7155512,0.64800096,0.7255099,0.6308828,0.71425974,-1
0.48797286,0.5119337,0.5426142,0.5652859,0.54616505,0.6284972,0.58728635,0.6280577,0.8056931,0.71212083,0.7088182,0.63647693,0.58034563,0.5712023,0.5415193,0.61873823,0.51868826,0.48150894,0.56776464,0.43863487,0.5348616,0.44915545,0.4710673,0.48241463,-1
0.49266434,0.53122824,0.5381164,0.59890366,0.5995839,0.6098457,0.809432,0.6920391,0.6224868,0.62296623,0.56181866,0.5620588,0.5506451,0.46917257,0.59927464,0.4341629,0.6572918,0.516025,0.56962025,0.5464021,0.4851017,0.49778306,0.4331025,0.49282643,-1
0.7960501,0.73003477,0.82553935,0.7358095,0.85412955,0.76238596,0.883939,0.807861,0.9104812,0.81730634,0.889056,0.84070146,0.8508865,0.8016522,0.8144235,0.79053706,0.78458786,0.7585169,0.74102235,0.7223418,0.70217323,0.685698,0.7432066,0.6674423,-1
0.6424927,0.73244035,0.7041373,0.75319904,0.7494917,0.77584994,0.79061055,0.7949675,0.8219669,0.8242646,0.8254947,0.81137025,0.7946154,0.7440081,0.7663155,0.71707845,0.80094314,0.7866158,0.8134215,0.8021402,0.67591184,0.7221212,0.5862475,0.7078605,-1
0.66742456,0.6685891,0.76163864,0.62200475,0.84796655,0.63630414,0.84286726,0.6514308,0.8483129,0.6800885,0.8475458,0.7540577,0.85104084,0.6889277,0.8153917,0.70878947,0.73451495,0.70771265,0.6654875,0.7483887,0.58873934,0.7250782,0.57555324,0.7011891,-1
0.73907524,0.75368345,0.85853267,0.66417176,0.89575255,0.58892244,0.8712793,0.5807678,0.8762977,0.6189718,0.8526093,0.6734596,0.8040898,0.6102898,0.74647963,0.6417437,0.6988043,0.6356507,0.66078585,0.6715966,0.62047863,0.6666008,0.6229675,0.6677213,-1
0.6702985,0.7267467,0.7827452,0.7427539,0.8707966,0.64570475,0.84215206,0.58422273,0.839062,0.5925871,0.8646476,0.62945944,0.8157661,0.6260494,0.71205163,0.61826223,0.6096218,0.6232431,0.536711,0.653605,0.49243936,0.6355638,0.5419066,0.64215547,-1
0.66202456,0.6854653,0.73468643,0.63704544,0.8178539,0.55263925,0.88738817,0.5464727,0.92799777,0.56149095,0.936562,0.5424626,0.92773455,0.47604465,0.8476423,0.4633236,0.749437,0.522502,0.66257167,0.65380865,0.5925611,0.68908817,0.576915,0.6655203,-1
0.8063385,0.728465,0.8561919,0.72847265,0.8874584,0.7566623,0.91440684,0.75923514,0.9414502,0.7266,0.9220833,0.71753913,0.8659765,0.65525365,0.829174,0.64389056,0.7775126,0.6238943,0.7388781,0.672189,0.70535994,0.63782954,0.7121486,0.64742315,-1
0.6974255,0.7354546,0.776238,0.6888327,0.8621285,0.6602862,0.9382133,0.6724963,0.98552346,0.7171534,0.9479025,0.672994,0.88547856,0.6475925,0.8331753,0.6651182,0.76593834,0.68999696,0.69820076,0.6915546,0.63219684,0.7009484,0.6080223,0.7237232,-1
0.717571,0.6340137,0.7784715,0.6387953,0.8653723,0.6149644,0.9466776,0.6363617,0.9269489,0.59665227,0.8809402,0.53006804,0.82688737,0.503407,0.7933243,0.49249518,0.7505298,0.5345248,0.6964226,0.633202,0.6197497,0.75191534,0.6338281,0.71825665,-1
0.492514,0.436771,0.56021637,0.47003928,0.6302197,0.5573974,0.71239734,0.68367267,0.7550146,0.72932166,0.7338392,0.6998607,0.7969356,0.5694955,0.8984714,0.46822253,0.6583195,0.45587102,0.5494223,0.4238674,0.49331,0.35978758,0.44697943,0.3925594,-1
0.47964337,0.4811164,0.547007,0.4944023,0.62612164,0.5410076,0.68176675,0.65507656,0.7358793,0.7166331,0.6970564,0.69428164,0.7507476,0.6666693,0.946751,0.60990125,0.6407309,0.6208835,0.5369306,0.62972647,0.48087037,0.518512,0.43697795,0.4709277,-1
0.760817,0.67468935,0.8391114,0.6587231,0.90292925,0.7040226,0.9536795,0.72735685,0.9811116,0.68701464,0.9718929,0.69883484,0.9323728,0.680982,0.8809431,0.70606685,0.81509835,0.7508404,0.7479076,0.7353054,0.68053573,0.7267752,0.65890193,0.6994676,-1
0.45974714,0.80544835,0.6124849,0.77077085,0.67610735,0.75458723,0.65879005,0.69464815,0.72972685,0.67492783,0.72200936,0.6260626,0.6713395,0.5910403,0.73266774,0.57823986,0.6712863,0.5885847,0.58512825,0.62395686,0.4675664,0.6128934,0.39840433,0.68548584,-1
0.67186296,0.6766238,0.7401356,0.61230165,0.81211704,0.5901441,0.88795716,0.64509875,0.9250296,0.6690064,0.90950394,0.7781481,0.8834192,0.8155801,0.86573774,0.78949416,0.8233991,0.79328465,0.76497155,0.7760176,0.69577944,0.6921212,0.63323855,0.66627026,-1
0.70571506,0.6621209,0.77799505,0.6540353,0.8653684,0.7188172,0.92378426,0.70483786,0.93857974,0.67064494,0.95367754,0.681555,0.8944609,0.71138525,0.83047956,0.7059637,0.76684535,0.6883369,0.6831809,0.623815,0.62802243,0.5895223,0.6313444,0.64918214,-1
