harmonic1,percussiv1,harmonic2,percussiv2,harmonic3,percussiv3,harmonic4,percussiv4,harmonic5,percussiv5,harmonic6,percussiv6,harmonic7,percussiv7,harmonic8,percussiv8,harmonic9,percussiv9,harmonic10,percussiv10,harmonic11,percussiv11,harmonic12,percussiv12,class
0.6741684,0.6368935,0.6976505,0.5832746,0.7268158,0.5864166,0.7660008,0.62283605,0.825481,0.65137315,0.87342644,0.7274906,0.785869,0.6660298,0.71095634,0.62980443,0.65070623,0.5884437,0.61257035,0.5533117,0.5861648,0.5756702,0.6115013,0.6290001,1
0.66575396,0.7583958,0.712415,0.72464734,0.76153034,0.6858315,0.81381965,0.6844877,0.88387984,0.6948797,0.90398145,0.7238175,0.85931534,0.7396026,0.810277,0.7508163,0.71638453,0.74459076,0.6507249,0.7285445,0.6000635,0.6803158,0.59618783,0.70669407,1
0.75116724,0.66279054,0.76726174,0.6631336,0.7989004,0.6345115,0.83465964,0.60544115,0.8759438,0.6400993,0.8660364,0.62874836,0.7792801,0.54025775,0.726955,0.51782334,0.6854778,0.5304721,0.66108423,0.59371424,0.6465296,0.67697674,0.67310584,0.6781944,1
0.7926655,0.6475571,0.82572675,0.61132216,0.8437582,0.6578524,0.8616809,0.68996835,0.8760399,0.6525539,0.85325015,0.66203904,0.80951,0.66673434,0.7829546,0.69444096,0.74260974,0.71731484,0.7202026,0.68824977,0.69734585,0.69552314,0.7169997,0.70978874,1
0.65105045,0.6369709,0.67735916,0.65543365,0.73078305,0.6767661,0.77652776,0.7006257,0.8167828,0.65320975,0.8181565,0.6618737,0.7754727,0.6333592,0.7569476,0.66631407,0.70228684,0.6529792,0.6548533,0.5841693,0.6077495,0.5368671,0.6057632,0.5684526,1
0.5516343,0.5828364,0.611453,0.6324439,0.6627915,0.66906685,0.7244879,0.6979608,0.820818,0.71491516,0.89152086,0.7014045,0.87987846,0.6708312,0.8205953,0.67832154,0.70783454,0.66418993,0.61665714,0.6743589,0.53997415,0.5635961,0.5002561,0.5504147,1
0.6206749,0.6707638,0.6581073,0.70322555,0.72190464,0.72796845,0.78655773,0.74007875,0.8651413,0.7582558,0.8779161,0.7193682,0.78959996,0.67349994,0.7240806,0.70188624,0.6507431,0.7004427,0.608143,0.683985,0.5747063,0.6321472,0.5758616,0.63883984,1
0.59021944,0.6215139,0.60758495,0.61805415,0.6450589,0.63123953,0.69492024,0.7042975,0.77242374,0.73002815,0.8070377,0.69002634,0.82229674,0.65228134,0.8318804,0.67461103,0.7513081,0.6692718,0.67925036,0.69094205,0.58681893,0.62234,0.5699048,0.5993093,1
0.51313996,0.6285845,0.54514426,0.5956922,0.59972596,0.5893894,0.6673541,0.64594,0.7728539,0.6923382,0.8741369,0.68557954,0.8280315,0.6802385,0.7912441,0.6836723,0.66242856,0.67407185,0.55114025,0.67697185,0.49469522,0.6417822,0.47525695,0.61645216,1
0.7027183,0.5128896,0.701138,0.54586434,0.7423281,0.5450235,0.7838623,0.5685336,0.8267233,0.6677693,0.84918094,0.7934482,0.79407173,0.7756456,0.7628817,0.7865625,0.7468721,0.7009528,0.72639966,0.5923905,0.67671055,0.52974266,0.6805161,0.51408094,1
0.5415118,0.5239141,0.5667551,0.55657333,0.6179767,0.5607134,0.70222956,0.5447968,0.8326441,0.5661495,0.8444748,0.61823416,0.8071238,0.6394839,0.71663386,0.6182231,0.59167117,0.545818,0.5348013,0.5468118,0.5128511,0.5670939,0.5243933,0.55467224,1
0.60180044,0.62434477,0.6476615,0.5528437,0.6853567,0.60441357,0.7628183,0.5915563,0.8077076,0.61868286,0.8036793,0.640736,0.6447368,0.55429703,0.52553874,0.53829956,0.46362314,0.5342502,0.4469528,0.5140693,0.44632328,0.52059144,0.51175934,0.5598061,1
0.6453967,0.7555834,0.7218485,0.7341572,0.7754787,0.7857203,0.75578636,0.76482844,0.74780214,0.7103242,0.73694307,0.7104935,0.668025,0.65299577,0.6606741,0.5780417,0.65002483,0.5220773,0.6058106,0.518879,0.5595661,0.5565952,0.5936029,0.6422067,1
0.53867,0.7973978,0.58153784,0.75278336,0.64782196,0.7128524,0.7178584,0.71311086,0.7888658,0.7279953,0.8629294,0.70999503,0.8172432,0.69226295,0.7681121,0.71570736,0.6623216,0.71951705,0.6092462,0.71787643,0.54986423,0.7643661,0.50013137,0.798273,1
0.65331286,0.71207976,0.7143043,0.69607234,0.78756815,0.6775647,0.83600867,0.6837607,0.88900185,0.7345288,0.89357877,0.7840921,0.7735743,0.7469747,0.69905716,0.7395784,0.66229844,0.71998435,0.64081556,0.70343965,0.60286456,0.67192686,0.5937286,0.6886349,1
0.6467202,0.45510766,0.6857627,0.41831872,0.7501707,0.4559213,0.76859015,0.5301345,0.7989918,0.62031835,0.83195287,0.65178025,0.77447015,0.74028295,0.7159196,0.7633552,0.6708319,0.68142563,0.6174645,0.6203739,0.5823291,0.55454487,0.6018191,0.49982566,1
0.60704076,0.56685364,0.624262,0.5574463,0.6656997,0.5617122,0.7346044,0.6226429,0.8433739,0.69831467,0.8445483,0.77548546,0.80539626,0.76733,0.739023,0.80305487,0.6643571,0.80576956,0.5941782,0.6988094,0.57509905,0.59430146,0.59143215,0.55058914,1
0.53051203,0.5655998,0.5608035,0.5355925,0.60426563,0.5405829,0.66884905,0.58544916,0.7889011,0.60454863,0.8570337,0.6155941,0.85623777,0.59572536,0.8517822,0.6587407,0.6870649,0.67417103,0.5699158,0.7068254,0.503592,0.5855451,0.49824074,0.5388057,1
0.6771233,0.76234525,0.6906481,0.7384625,0.7133724,0.7199185,0.75845736,0.6841999,0.8291283,0.6912842,0.8240162,0.704259,0.82326454,0.6707606,0.7473801,0.682685,0.62965924,0.6996727,0.5815971,0.70357966,0.58691263,0.68078524,0.6433305,0.7140181,1
0.6429384,0.65815353,0.66728324,0.61431795,0.7103816,0.5765972,0.7627789,0.5676512,0.81835294,0.5933764,0.84909743,0.654647,0.8446917,0.7307565,0.81929684,0.7926836,0.74832344,0.74132484,0.6746552,0.7379252,0.611034,0.67870545,0.59213346,0.65582794,1
0.7033438,0.7376023,0.76858944,0.7491137,0.8290846,0.75094587,0.86572814,0.7638842,0.8849487,0.76753086,0.8775063,0.77027154,0.8261364,0.7142681,0.7863752,0.6724775,0.7034774,0.6653194,0.637131,0.6758554,0.6232722,0.6708769,0.6279513,0.719568,1
0.8120863,0.74281996,0.8046618,0.7681719,0.8004915,0.71072745,0.82034224,0.71971387,0.83836156,0.732724,0.811405,0.7008021,0.7597649,0.65058786,0.75231034,0.62884617,0.7707229,0.6872785,0.78125596,0.6791803,0.77415425,0.6667135,0.77634424,0.6910032,1
0.7711238,0.6457215,0.76972675,0.6349812,0.7765003,0.64627767,0.8110264,0.67213607,0.838475,0.6629786,0.8367805,0.65563774,0.7681053,0.6851221,0.7343235,0.7410425,0.7250839,0.76751155,0.724742,0.7058965,0.70919037,0.6298852,0.7113755,0.6222179,1
0.76552653,0.6538271,0.80189985,0.6346029,0.84203833,0.68606263,0.8645887,0.74560225,0.9150749,0.77910215,0.9137028,0.74059373,0.83881146,0.6786509,0.78692937,0.6695996,0.76362747,0.727138,0.7702088,0.6547694,0.7231904,0.6272698,0.70257485,0.62795424,1
0.8499588,0.7221564,0.87543863,0.6979446,0.89143354,0.68797165,0.9190662,0.7025947,0.9415552,0.68852985,0.9127683,0.6954124,0.83337444,0.6563654,0.78771996,0.6751798,0.7562816,0.71048856,0.7455832,0.69321173,0.7467451,0.644166,0.7680737,0.6786218,1
