harmonic1,percussiv1,harmonic2,percussiv2,harmonic3,percussiv3,harmonic4,percussiv4,harmonic5,percussiv5,harmonic6,percussiv6,harmonic7,percussiv7,harmonic8,percussiv8,harmonic9,percussiv9,harmonic10,percussiv10,harmonic11,percussiv11,harmonic12,percussiv12,class
0.62657714,0.6872178,0.68941015,0.7202033,0.7418056,0.6954282,0.8232698,0.7021972,0.87854135,0.678649,0.94173276,0.68379676,0.8453909,0.67004615,0.7203707,0.6696724,0.6824475,0.68009603,0.6090613,0.70277244,0.57097167,0.69850945,0.5509169,0.6577303,-1
0.6797887,0.55660427,0.7293921,0.5450573,0.784074,0.54313934,0.85292757,0.5374765,0.85254073,0.57933,0.88998604,0.5855139,0.8094038,0.55264336,0.69638896,0.63354516,0.6263928,0.703446,0.6026061,0.6059166,0.5835758,0.49934557,0.6028333,0.5233193,-1
0.4773811,0.58907473,0.5194813,0.60919875,0.57271725,0.61988544,0.65329117,0.6801687,0.7547251,0.6365146,0.9710426,0.6031982,0.7770411,0.6084006,0.57945925,0.565115,0.5234608,0.5674668,0.5020392,0.61888856,0.4561098,0.6207189,0.41801402,0.5645504,-1
0.5109591,0.53035086,0.57020783,0.51077724,0.5954395,0.4834093,0.6169662,0.48483393,0.69130313,0.56505716,0.7980024,0.5894904,0.73313695,0.6783145,0.6932123,0.63942933,0.6771472,0.6151025,0.50427866,0.57629764,0.46240598,0.55503565,0.48110378,0.544726,-1
0.78492063,0.6308747,0.8484352,0.6338149,0.8913154,0.6517518,0.92825985,0.66495675,0.95157427,0.696689,0.9287954,0.7275458,0.8608789,0.69027376,0.7959423,0.70710844,0.74107003,0.6537278,0.7047828,0.64314413,0.67805296,0.6494597,0.684375,0.6485959,-1
0.49224013,0.68863845,0.34147546,0.7499622,0.28303444,0.6443872,0.31360772,0.57767814,0.36470956,0.5401688,0.3334928,0.5412858,0.43383685,0.54716885,0.7017938,0.4938258,0.47982332,0.5751741,0.46232727,0.59797186,0.49028713,0.552611,0.44515905,0.5740239,1
0.46204713,0.41528085,0.431495,0.37732908,0.49300388,0.36844122,0.5209449,0.39084414,0.5416284,0.4300643,0.53258836,0.44352055,0.5206019,0.40435803,0.6187505,0.45250046,0.6635894,0.6345327,0.58155435,0.57472193,0.50981224,0.5551694,0.48507664,0.5095519,1
0.585745,0.4642804,0.47667173,0.43141192,0.45095822,0.43840048,0.458475,0.45738018,0.4281212,0.42576686,0.4146661,0.42465675,0.3737949,0.4071146,0.3623542,0.40722075,0.41400936,0.4771028,0.49801016,0.5607984,0.5946412,0.5510464,0.6423517,0.5266466,1
0.5160665,0.5169485,0.4133232,0.4878224,0.39660022,0.4960101,0.4172459,0.52191645,0.42642623,0.51375556,0.45865667,0.5084968,0.43699348,0.48287332,0.4451795,0.46588346,0.4932005,0.5179333,0.59060466,0.5244015,0.62693,0.495302,0.6560061,0.53909016,1
0.66633385,0.654866,0.5818233,0.5949142,0.453446,0.5528206,0.45616123,0.53378075,0.48173788,0.5380646,0.516217,0.57621706,0.5775704,0.5611777,0.58053404,0.47574905,0.6293417,0.43879938,0.6426751,0.47536108,0.6601394,0.49963066,0.6770078,0.5591863,1
