harmonic1,percussiv1,harmonic2,percussiv2,harmonic3,percussiv3,harmonic4,percussiv4,harmonic5,percussiv5,harmonic6,percussiv6,harmonic7,percussiv7,harmonic8,percussiv8,harmonic9,percussiv9,harmonic10,percussiv10,harmonic11,percussiv11,harmonic12,percussiv12,class
0.6369517,0.6522326,0.51615965,0.598392,0.45897678,0.55915636,0.34758052,0.52429426,0.2965078,0.4787958,0.26174286,0.50155526,0.23908852,0.55233836,0.2533212,0.58452433,0.2931368,0.5765638,0.32700095,0.5467627,0.4350993,0.57910734,0.80684114,0.59558284,-1
0.38425303,0.532808,0.82478404,0.48465002,0.7185,0.42478982,0.2566227,0.3887681,0.10020501,0.4104808,0.06254585,0.48358268,0.04616228,0.538042,0.042690083,0.4294449,0.049087096,0.3861078,0.05915812,0.4671796,0.0754943,0.5946443,0.1559187,0.58495,-1
0.62432516,0.65366465,0.558641,0.5737777,0.58452857,0.5412469,0.62661767,0.5551705,0.6105826,0.5989397,0.611074,0.6065397,0.5942787,0.6518125,0.60842174,0.65931964,0.6116559,0.68388903,0.6435351,0.61800486,0.5988232,0.6007577,0.6366767,0.6493606,-1
0.2787283,0.5495418,0.29207948,0.5248783,0.32391116,0.54673624,0.43128443,0.58897406,0.54109854,0.5739082,0.5705052,0.6080805,0.6654845,0.61592025,0.7224256,0.63807434,0.59070003,0.6073463,0.43056315,0.60775954,0.33543345,0.5972672,0.33515465,0.590204,-1
0.71887755,0.5256121,0.84456486,0.5776408,0.7275984,0.68661207,0.6461034,0.6550813,0.6611929,0.58641076,0.6436086,0.5541553,0.60123247,0.5992959,0.5966285,0.63881814,0.6178213,0.6234194,0.62405276,0.56498015,0.61439854,0.5673279,0.64378655,0.5482718,-1
0.71085656,0.66217756,0.6321172,0.5828876,0.6057758,0.581943,0.64118207,0.6074378,0.62007517,0.615467,0.61192214,0.6136477,0.5682355,0.6243754,0.5550651,0.61801565,0.5986367,0.59722656,0.6755081,0.60227543,0.66942066,0.6290076,0.6808387,0.67897666,-1
0.774264,0.59973377,0.6773975,0.6285633,0.5952065,0.6295228,0.55601716,0.59946156,0.52599883,0.5862206,0.47093537,0.6482278,0.44802496,0.65840095,0.4897819,0.63746583,0.60328156,0.6080991,0.6372664,0.55523276,0.6716914,0.5708451,0.7547537,0.6234321,-1
0.5551513,0.6892079,0.5328652,0.7069639,0.5798744,0.7026613,0.67958015,0.69353163,0.70251787,0.64015394,0.50688225,0.5799817,0.3506616,0.5170047,0.2902596,0.51530796,0.29226464,0.5386439,0.34795734,0.5591991,0.4376929,0.5646753,0.53232247,0.6274086,-1
0.43458167,0.602799,0.43968287,0.6225217,0.4886584,0.6451775,0.53586364,0.6624517,0.6110664,0.6148296,0.691407,0.60998946,0.7179771,0.60747063,0.79352456,0.60023135,0.7662662,0.57975155,0.7036443,0.6027202,0.5549069,0.62723154,0.4551234,0.59332246,-1
0.6093282,0.5667604,0.54754376,0.56459594,0.48694894,0.57669204,0.4672774,0.54177415,0.48008,0.5155079,0.49490002,0.5877626,0.5204404,0.5864245,0.5881042,0.5963628,0.6993909,0.5940462,0.71015686,0.585679,0.66363126,0.59274447,0.6185002,0.59979856,-1
