Sample,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29,mfcc30,mfcc31,mfcc32,mfcc33,mfcc34,mfcc35,mfcc36,mfcc37,mfcc38,mfcc39,mfcc40,mfcc41,mfcc42,mfcc43,mfcc44,class
b0001.wav,-651.96924,49.37742,41.520348,34.98673,28.405958,22.691856,18.566511,16.051968,14.495988,13.358916,12.051142,10.339622,8.394149,6.5337934,5.122028,4.384785,4.238081,4.4353023,4.6551294,4.6379457,4.3219485,3.7951806,3.2222998,2.7848876,2.5697057,2.5717428,2.7205293,2.8992548,3.0136473,3.0176954,2.9017115,2.7043135,2.477959,2.2698133,2.1256058,2.0651228,2.0786476,2.1368968,2.1879694,2.1878417,2.1209834,1.9997238,1.8666078,1.7712437,-1
b0001.wav,-661.20715,35.289913,28.675945,24.041632,19.31081,15.173008,12.324349,10.77324,10.104356,9.894387,9.545979,8.832337,7.7766085,6.582013,5.586543,4.9961424,4.838596,4.9959965,5.2053246,5.2543144,5.03188,4.553224,3.965682,3.43087,3.0669587,2.915941,2.9124682,2.9593048,2.9620728,2.8652854,2.683088,2.4595206,2.2478566,2.0880892,1.9783554,1.9013221,1.8305076,1.746082,1.6552609,1.5732563,1.5175897,1.4989548,1.5049404,1.5182332,-1
b0001.wav,-685.2503,40.348415,35.666306,29.25586,22.676735,17.280489,13.804034,12.234206,11.965359,12.148266,12.062382,11.357936,10.094051,8.599287,7.2528214,6.299394,5.771795,5.5292816,5.3651295,5.1156206,4.7193437,4.2128386,3.6831198,3.2125983,2.8447573,2.5794084,2.3885484,2.2369657,2.0962694,1.9502285,1.7955906,1.6423815,1.513343,1.4388582,1.4451001,1.5386752,1.6961029,1.8665775,1.9901348,2.023992,1.9634396,1.8448993,1.7277381,1.6633457,-1
b0001.wav,-678.8761,55.912598,46.789818,38.17479,29.692877,22.78041,18.229328,16.1531,15.528968,15.234633,14.397955,12.610488,10.070305,7.4017396,5.1984334,3.8432455,3.3899863,3.5615325,3.9515893,4.2281036,4.192508,3.8342516,3.2909012,2.7366972,2.3266852,2.1710987,2.286602,2.609309,3.0190885,3.3521416,3.455394,3.2565842,2.7852526,2.177928,1.6379677,1.3410743,1.3594558,1.6400838,2.0238886,2.3259945,2.4298277,2.3284037,2.1124034,1.9170334,-1
b0001.wav,-696.55676,55.33804,41.301468,30.383059,20.373362,13.029459,9.393575,8.930562,10.16989,11.337783,11.279269,9.758707,7.2912035,4.7177477,2.8635955,2.0150108,2.0129082,2.5061464,3.0438995,3.3967016,3.483018,3.3460627,3.0236397,2.5287008,1.9082004,1.2529235,0.71848834,0.4807456,0.6161851,1.0315508,1.5241256,1.8348877,1.8065345,1.4594414,0.97062916,0.585356,0.4608429,0.61616576,0.9136463,1.1525022,1.1896096,1.00097,0.6759895,0.36557198,-1
b0001.wav,-681.89197,47.229015,37.6443,28.8398,21.843475,16.89966,14.456098,13.694468,13.343578,12.357578,10.4717245,8.220064,6.307304,5.302281,5.21997,5.5571933,5.7237773,5.3041286,4.382138,3.4211395,2.8503041,2.8547964,3.2493196,3.6112657,3.5845933,3.1095254,2.4405673,1.9305465,1.8300908,2.1215143,2.516278,2.692178,2.48793,1.9995674,1.518587,1.3152685,1.4736823,1.840601,2.1342928,2.1397665,1.8390568,1.416333,1.1218263,1.1169068,-1
b0001.wav,-637.60864,48.507847,37.214813,29.08032,21.652632,16.471565,13.321005,11.908096,11.346092,10.845551,9.933455,8.716694,7.535361,6.6819687,6.2097507,5.980484,5.74829,5.3339,4.737688,4.12008,3.651512,3.3969932,3.2987282,3.2299318,3.07815,2.818836,2.528587,2.3093157,2.2050803,2.1715653,2.1200032,1.9778897,1.7504508,1.527441,1.4356793,1.5438888,1.8158753,2.123517,2.3236334,2.3286755,2.1583939,1.9168468,1.7260104,1.6437917,-1
b0002.wav,-634.20557,66.98061,58.061047,45.675655,32.62789,21.408257,13.499002,9.136628,7.5526524,7.5113835,7.871163,7.9405346,7.540037,6.8316636,6.06703,5.4013715,4.845067,4.330932,3.8165243,3.3407884,3.0016363,2.8800426,2.9699214,3.1646364,3.310282,3.2915323,3.0957677,2.81645,2.595606,2.5420341,2.6739933,2.9168105,3.150769,3.2758722,3.2545614,3.1121142,2.9029036,2.6699185,2.424433,2.1549938,1.8541147,1.5405082,1.2602214,1.0660186,-1
b0002.wav,-567.82056,24.202631,22.810102,20.81559,18.599611,16.51813,14.805375,13.526505,12.591836,11.820773,11.026406,10.08741,8.98287,7.783163,6.608015,5.5738344,4.7529497,4.158401,3.7548456,3.4849856,3.2963839,3.156617,3.0527384,2.9795816,2.9263108,2.8700304,2.7801836,2.631009,2.414913,2.1492114,1.8722527,1.6302463,1.4605803,1.3788009,1.3745061,1.4171216,1.4684072,1.4960434,1.4829901,1.4297773,1.3501744,1.2631917,1.1852322,1.1252545,-1
b0002.wav,-604.94183,27.157024,20.154648,15.043003,10.453794,7.2526035,6.026065,6.559235,7.8899536,9.196702,9.733136,9.263551,8.070672,6.6130843,5.348476,4.5453706,4.1457753,3.95888,3.7702737,3.45113,3.0457258,2.6761808,2.4444187,2.393865,2.4538255,2.5102112,2.484823,2.356269,2.1800265,2.0425882,1.9863273,2.0026238,2.028532,1.9848773,1.8395013,1.6152576,1.3774495,1.2059073,1.139514,1.16583,1.2339791,1.2759466,1.2492992,1.1532333,-1
