Sample,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29,mfcc30,mfcc31,mfcc32,mfcc33,mfcc34,mfcc35,mfcc36,mfcc37,mfcc38,mfcc39,mfcc40,mfcc41,mfcc42,mfcc43,mfcc44,class
c0001.wav,-786.92377,29.173822,25.285254,24.376371,23.363838,22.083689,20.735106,19.287416,17.712418,16.157188,14.553245,12.983221,11.475226,10.025193,8.688023,7.4625,6.353384,5.3861423,4.5364766,3.8141975,3.2109413,2.70642,2.3017747,1.9760461,1.7153277,1.5144703,1.3510133,1.2214409,1.1155744,1.0213923,0.9398601,0.86163217,0.78375524,0.70812076,0.6286034,0.5499703,0.47110748,0.3901537,0.3115918,0.2332481,0.15713467,0.085575,0.014806041,-0.051427223,1
c0001.wav,-871.7611,69.330864,46.68229,28.833801,13.762967,6.815915,7.208978,11.700342,15.611251,16.091196,12.956732,8.405865,5.0611506,4.352831,5.7548194,7.5138264,7.9522357,6.5995684,4.2955127,2.4547439,1.9985934,2.7945297,3.8570914,4.1442723,3.278795,1.7564336,0.5019562,0.18675126,0.7728897,1.6106435,1.9421394,1.4488727,0.42974707,-0.4559262,-0.68494856,-0.21672028,0.5202972,0.9737816,0.8593248,0.32553723,-0.20683727,-0.3754803,-0.12947772,0.27684277,1
c0001.wav,-854.1573,24.314848,20.233574,19.727558,18.839544,17.955538,17.039698,16.033981,15.043812,13.993966,12.942127,11.861404,10.767023,9.685462,8.614982,7.6084094,6.6620317,5.8201528,5.0768433,4.445717,3.9177604,3.477198,3.1143188,2.8028936,2.5381339,2.302644,2.0971956,1.918903,1.7672805,1.6455846,1.5448166,1.4640069,1.3870597,1.3078923,1.2149277,1.1041458,0.97626245,0.83329415,0.68658686,0.5437232,0.41667554,0.30921218,0.2235767,0.1571092,1
c0001.wav,-799.32166,29.933588,25.926037,21.016611,16.918726,14.689575,14.324929,14.940556,15.383823,14.892758,13.432446,11.565038,9.997306,9.120797,8.822362,8.641026,8.123,7.121782,5.857748,4.729457,4.0308275,3.7715232,3.7069228,3.533156,3.0977514,2.4826396,1.917804,1.6030596,1.5697521,1.673333,1.7086927,1.5562764,1.2545384,0.95529157,0.8040361,0.8359047,0.9588823,1.0284381,0.95312494,0.75398135,0.53960377,0.42143524,0.4341191,0.5169063,1
c0001.wav,-876.4921,47.0234,39.284084,32.118767,26.245638,22.475798,20.937979,20.501604,20.033056,18.511314,15.863175,12.825009,10.207793,8.530487,7.685008,7.2044263,6.558008,5.5085607,4.2730618,3.2230325,2.6452103,2.5304205,2.6253512,2.630276,2.3790853,1.9710835,1.6233501,1.4991044,1.5899609,1.7216264,1.7006189,1.4306878,0.9967653,0.58274126,0.32964963,0.2582169,0.26005694,0.2012765,0.01393562,-0.25223473,-0.47571138,-0.57189274,-0.5428108,-0.47594336,1
c0001.wav,-888.6678,65.93104,48.278763,30.274446,15.651706,8.075238,7.6807637,11.511354,15.177799,15.827475,13.096455,8.754257,5.293534,4.201592,5.170568,6.680789,7.11145,5.824715,3.490112,1.4365822,0.6842385,1.3297404,2.5488567,3.257927,2.8775644,1.6383522,0.33675763,-0.25292417,0.079426035,0.9074266,1.5323358,1.4713534,0.7687922,-0.090843156,-0.5775394,-0.4767307,-0.00415892,0.38481286,0.3474796,-0.11277192,-0.6894375,-1.0052867,-0.88523537,-0.46469003,1
c0001.wav,-802.6601,58.29702,45.85417,31.161785,19.440208,13.50531,13.1580715,15.874313,18.323357,18.208506,15.397973,11.554488,8.693741,7.848346,8.613013,9.619084,9.541827,7.985559,5.6437407,3.6843147,2.9047265,3.2591643,3.9894693,4.204159,3.499441,2.1871734,0.9925547,0.4998217,0.7670368,1.3396732,1.6086236,1.25022,0.43356258,-0.34515718,-0.647517,-0.39640677,0.10000806,0.3929817,0.22513348,-0.28971398,-0.76867956,-0.8536726,-0.46881875,0.13352978,1
c0001.wav,-832.59784,45.752384,37.69241,28.546228,21.20532,16.950317,15.757297,16.385881,16.950747,16.168022,13.991391,11.231402,8.89716,7.6157975,7.2613072,7.1369658,6.5728073,5.3656015,3.8363519,2.5801365,2.0271018,2.1304388,2.4498293,2.4910126,2.0175016,1.1816472,0.39492235,0.014831164,0.10918141,0.45162612,0.69333833,0.5980951,0.19550675,-0.27132457,-0.54502565,-0.52739316,-0.32726273,-0.16850412,-0.2171806,-0.46574572,-0.76032525,-0.92052007,-0.85997033,-0.63900465,1
c0001.wav,-840.46704,28.713396,27.209545,25.529156,24.039412,22.66636,21.274702,19.870907,18.459492,16.948086,15.276488,13.517649,11.8011875,10.217945,8.820782,7.637279,6.644386,5.7770147,4.9856157,4.262653,3.6168325,3.0537684,2.578955,2.1895082,1.8612542,1.5625001,1.2781237,1.0093585,0.7595829,0.5317436,0.32963732,0.15087765,-0.014037105,-0.16934443,-0.30798882,-0.42133436,-0.50819945,-0.57443565,-0.6317221,-0.6955884,-0.7748026,-0.8598772,-0.92558706,-0.94460845,1
c0001.wav,-844.4113,31.217146,25.469128,19.98879,16.217934,13.938382,12.878144,12.638183,12.427548,11.680829,10.377519,8.813961,7.41384,6.493944,6.0342026,5.758898,5.356993,4.6531134,3.735364,2.8753092,2.2836237,2.007357,1.9573909,1.9418296,1.7878203,1.4777716,1.1227053,0.85272276,0.74034125,0.7495756,0.7607399,0.677659,0.49771664,0.30003646,0.18998776,0.22275177,0.36062142,0.5023381,0.54592067,0.45102978,0.26900676,0.09831777,0.008450202,0.007729203,1
c0001.wav,-960.3067,53.575638,43.906662,38.957916,33.868717,29.004942,24.744251,21.098793,18.314182,16.054049,14.079217,12.237922,10.427004,8.659122,6.994603,5.552815,4.395869,3.5124044,2.8628619,2.3996878,2.037385,1.7419319,1.481123,1.2653202,1.0799247,0.9111213,0.7581634,0.5864647,0.39520267,0.1788277,-0.03428066,-0.2154367,-0.3464217,-0.40112916,-0.38754618,-0.32066724,-0.2362783,-0.15993081,-0.1099304,-0.095657684,-0.1051125,-0.12583278,-0.15014952,-0.17497347,1
c0001.wav,-738.97955,20.741144,20.450642,19.980879,19.35125,18.585028,17.706676,16.739656,15.705178,14.622058,13.5074215,12.377884,11.250581,10.143605,9.075524,8.064049,7.1241455,6.2661314,5.494342,4.8067737,4.195943,3.6507623,3.1590347,2.7099378,2.2958994,1.913416,1.5626963,1.2462649,0.9670374,0.7264288,0.5230751,0.35251215,0.20790304,0.08152384,-0.033388816,-0.1411223,-0.24265943,-0.3358743,-0.41666612,-0.48071176,-0.5252974,-0.55068994,-0.56060195,-0.56162494,1
c0001.wav,-795.70416,17.763735,17.450987,16.946638,16.273996,15.462028,14.542571,13.547736,12.507876,11.450362,10.399083,9.374531,8.3941555,7.47271,6.6223493,5.8524475,5.169193,4.575131,4.0688815,3.6451972,3.2954466,3.008479,2.7717397,2.5724428,2.398608,2.2398307,2.0877123,1.9359982,1.7804881,1.6188315,1.4502946,1.2755407,1.0964336,0.915818,0.73725945,0.5646948,0.40203077,0.2527187,0.11938476,0.003571459,-0.09435709,-0.17514251,-0.24042207,-0.29243514,1
c0001.wav,-716.24335,21.476107,19.429197,16.83144,14.494376,12.960485,12.30387,12.181091,12.080331,11.6154785,10.703533,9.546309,8.456272,7.649542,7.1318316,6.731537,6.2388844,5.55053,4.7279463,3.9425313,3.35493,3.012808,2.8309317,2.6582778,2.3805044,1.9882743,1.5706385,1.245127,1.0762191,1.0365869,1.032386,0.9698358,0.81520885,0.609112,0.4299071,0.33546257,0.3244407,0.34157568,0.31965724,0.22663249,0.085252516,-0.04615048,-0.11581459,-0.11329197,1
c0001.wav,-753.80347,30.827284,27.159609,22.620785,18.745453,16.499079,15.910807,16.219395,16.403305,15.765321,14.2455635,12.327212,10.648919,9.593458,9.1002035,8.780953,8.222645,7.2604566,6.0520186,4.9317985,4.1686254,3.797037,3.6244438,3.388401,2.9415967,2.3371305,1.7672955,1.4128567,1.3148439,1.3547513,1.3469337,1.1698548,0.8426438,0.49896604,0.28465468,0.2554945,0.34497863,0.41801903,0.36653727,0.17820685,-0.06573984,-0.2551494,-0.3276905,-0.30406553,1
c0001.wav,-911.9561,41.583675,34.403393,26.104382,19.206678,14.898444,13.320518,13.586823,14.112088,13.636121,11.917785,9.533797,7.3398876,5.9852037,5.5428805,5.5263023,5.3223386,4.608772,3.4854434,2.365396,1.6843234,1.587106,1.8554244,2.1012409,2.0234764,1.580962,0.9999054,0.58968025,0.5109343,0.68424815,0.8664329,0.8171255,0.46204618,-0.061282456,-0.51185745,-0.70518136,-0.61317056,-0.36433837,-0.14677642,-0.077885665,-0.14443547,-0.24183126,-0.25976858,-0.16072059,1
c0001.wav,-884.42755,49.56348,38.006668,29.109016,21.47241,17.19002,15.935574,16.674112,17.490913,16.986387,14.863122,11.919934,9.243263,7.6206484,7.1270113,7.188776,7.014601,6.168498,4.7617135,3.2944121,2.2888994,1.9625834,2.094256,2.2263114,1.9970981,1.3615559,0.5699768,-0.01830786,-0.18891901,-0.007493003,0.25412586,0.32876685,0.11882723,-0.25992408,-0.5744965,-0.6432135,-0.4604699,-0.17801224,0.013573539,0.009426897,-0.15442158,-0.33923835,-0.41685703,-0.35928133,1
c0001.wav,-865.83276,28.558815,24.287498,23.703484,22.503742,21.3728,20.00982,18.586988,17.053345,15.488388,13.890179,12.310446,10.762352,9.284646,7.8916783,6.6090207,5.444168,4.4093204,3.5029955,2.726262,2.0708265,1.5305526,1.0923357,0.74546605,0.47482917,0.26819995,0.111422844,-0.00623316,-0.0959619,-0.16486347,-0.22064699,-0.2673693,-0.3093715,-0.34807456,-0.38459015,-0.4177844,-0.44770783,-0.47358748,-0.49488154,-0.51001513,-0.51849186,-0.5197707,-0.5149524,-0.504183,1
c0001.wav,-808.82916,26.672554,21.950584,20.758364,18.96654,17.421434,15.925089,14.669882,13.546897,12.527201,11.489997,10.395028,9.212833,7.9916477,6.7918425,5.6969934,4.759971,4.0114193,3.4389787,3.01268,2.6881833,2.4310348,2.2154315,2.032028,1.8747127,1.7396445,1.6148311,1.4852372,1.3334867,1.1505529,0.9369649,0.70730793,0.48279393,0.28717515,0.13694118,0.038607553,-0.014694973,-0.037390176,-0.045731664,-0.050809443,-0.057155907,-0.061735626,-0.05883135,-0.041924648,1
c0001.wav,-693.0022,34.886753,24.548498,20.646229,16.904621,14.602154,13.660401,13.598321,13.510034,12.9760065,11.756133,10.253256,8.914608,8.043163,7.6524763,7.448181,7.097043,6.454462,5.5750875,4.72462,4.1199603,3.8217568,3.7179549,3.5917695,3.2975385,2.8405066,2.3391345,1.9595608,1.7684791,1.7143974,1.6708946,1.5174642,1.2338762,0.89547324,0.61027956,0.4554435,0.40943536,0.38927758,0.31051692,0.1403963,-0.07438405,-0.25383133,-0.34229416,-0.33641118,1
c0001.wav,-690.80524,31.067955,24.902203,22.01519,18.969856,17.023928,15.940256,15.50083,15.080611,14.318497,13.097057,11.657923,10.322681,9.33541,8.69204,8.21318,7.6651874,6.93833,6.089842,5.3008237,4.734059,4.4364824,4.308798,4.186182,3.9396474,3.5552573,3.1209486,2.758376,2.533612,2.4219666,2.3308666,2.1723783,1.9198562,1.622195,1.3613564,1.1934536,1.1086637,1.0434084,0.92664236,0.73144096,0.4909768,0.27563575,0.14359021,0.10516705,1
