Sample,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29,mfcc30,mfcc31,mfcc32,mfcc33,mfcc34,mfcc35,mfcc36,mfcc37,mfcc38,mfcc39,mfcc40,mfcc41,mfcc42,mfcc43,mfcc44,class
d0001.wav,-736.6613,41.447018,35.182858,27.23661,20.081306,15.370392,13.364688,13.100562,13.108735,12.243302,10.197304,7.50412,5.1073823,3.7837088,3.7403138,4.5788574,5.5946484,6.1934404,6.166354,5.6854205,5.0766773,4.55956,4.1297555,3.6356049,2.9582467,2.1484425,1.4222986,1.0259886,1.0686886,1.4399108,1.8673431,2.0770085,1.9509357,1.5818471,1.1955204,0.99966884,1.0618324,1.2908182,1.5205537,1.6281613,1.6038101,1.5321995,1.5096612,1.5620774,-1
d0001.wav,-778.05414,23.829145,19.981628,15.17405,11.0316515,8.670714,8.266915,9.099113,10.011456,10.031256,8.822729,6.768298,4.678897,3.3243127,3.045909,3.6402636,4.5375843,5.1409397,5.12555,4.5469728,3.7314684,3.04362,2.6784437,2.588372,2.5624666,2.3864915,1.9777182,1.4198236,0.8930706,0.5571738,0.46342802,0.5437357,0.67114764,0.7444179,0.7415828,0.7145016,0.7365448,0.84312797,1.0042399,1.1435064,1.187514,1.1117476,0.9546392,0.7931575,-1
d0001.wav,-789.21783,18.194466,12.527228,10.423751,8.360984,7.477451,7.403357,7.808045,8.008868,7.662149,6.73493,5.585011,4.632799,4.164314,4.1476855,4.3256235,4.376487,4.1322093,3.641558,3.1198435,2.7799652,2.7047658,2.7999885,2.8782964,2.779438,2.4704547,2.044799,1.6518219,1.3958628,1.2869676,1.2554088,1.2221715,1.1568187,1.0930933,1.0863618,1.1571133,1.2587519,1.3027225,1.2174401,1.0034192,0.7384127,0.53379893,0.4637002,0.5216971,-1
d0001.wav,-759.54553,30.473122,23.067816,18.589502,14.089682,11.186997,9.746718,9.392137,9.197717,8.535668,7.1960034,5.53784,4.1286755,3.4378166,3.5309637,4.0965004,4.629231,4.7440166,4.3508697,3.6696975,3.045131,2.7338743,2.756175,2.920704,2.95959,2.705123,2.1771758,1.5591091,1.0740491,0.8606414,0.90769285,1.0902072,1.2576987,1.3248165,1.2999539,1.252217,1.2417091,1.2724257,1.2910647,1.2331256,1.0744503,0.8582516,0.6725242,0.6005909,-1
d0001.wav,-766.1209,47.10856,38.755554,28.26837,19.06261,13.411285,11.618327,12.250809,13.191857,12.858247,10.91261,8.165466,5.857823,4.8390136,5.134418,6.08757,6.8847094,7.066806,6.707762,6.205231,5.8940663,5.7809367,5.5740337,4.952709,3.8554046,2.5686755,1.5573484,1.1641209,1.3931848,1.9237385,2.3336163,2.3712008,2.0915172,1.7769879,1.7143674,1.9908109,2.4450388,2.7928133,2.8253872,2.5388525,2.1125429,1.7662716,1.6073956,1.5758023,-1
d0002.wav,-768.6695,50.808456,39.45846,29.67555,19.868849,12.752136,8.69804,7.2194567,6.889873,6.5142226,5.492548,4.03709,2.7234278,2.047849,2.046778,2.347878,2.436975,2.0300298,1.2238535,0.4135523,0.002195532,0.14994082,0.68157536,1.2260408,1.4498115,1.2540454,0.7970644,0.36832485,0.19430609,0.3177117,0.5993052,0.8335451,0.8763615,0.7149338,0.44041908,0.16908827,-0.031517424,-0.15806353,-0.23971649,-0.29350492,-0.31257546,-0.2871559,-0.23895715,-0.2244678,1
d0002.wav,-793.56305,48.44181,38.265728,29.118517,20.092634,12.664329,7.6933885,4.8465567,3.2748382,2.3565178,1.649365,1.2547362,1.344716,1.8822478,2.6089325,3.0654495,2.9216492,2.1947591,1.1724328,0.29961511,-0.1285615,-0.109170906,0.14462371,0.34063932,0.32471368,0.15576358,0.001475269,0.024020113,0.23981309,0.5211594,0.7105144,0.71411884,0.5689337,0.39529335,0.28406507,0.2432332,0.18939762,0.028847082,-0.24763237,-0.5551061,-0.7612864,-0.785799,-0.67330575,-0.5610764,1
d0002.wav,-821.02423,52.541134,40.499836,30.556349,20.914154,13.499701,8.476296,5.6819577,4.1746902,3.1059973,2.1827657,1.5616401,1.4596404,1.884974,2.5944703,3.1078484,3.0465353,2.3511603,1.3155894,0.34004456,-0.24639195,-0.38167346,-0.2518103,-0.12820679,-0.14333393,-0.24608423,-0.2728124,-0.089525335,0.28561768,0.6756746,0.8674997,0.76145136,0.41141355,-0.01226804,-0.3390017,-0.49485466,-0.53982115,-0.58357966,-0.70127904,-0.88041854,-1.0469979,-1.1230865,-1.1052188,-1.0631948,1
d0002.wav,-790.98346,43.70579,35.063076,27.171154,19.681496,13.511173,8.9529505,6.0543666,4.3450255,3.265441,2.5765588,2.13733,1.990478,2.1356618,2.4391584,2.5874333,2.424379,1.9465245,1.310014,0.72388875,0.35240844,0.18442917,0.09393308,-0.049476825,-0.29512277,-0.54916614,-0.6513436,-0.50003636,-0.13938807,0.28943613,0.5963871,0.6619573,0.49803773,0.23227428,0.001652797,-0.11935404,-0.15953304,-0.2128253,-0.35373738,-0.5862303,-0.8480692,-1.0560582,-1.1536626,-1.1560788,1
d0002.wav,-801.2914,45.521145,31.212603,20.915855,12.246036,6.6408906,4.573312,5.012687,5.7707825,5.650288,4.227549,2.0973482,0.41329175,-0.118963264,0.45232695,1.5398823,2.2834263,2.2253218,1.5081921,0.62837213,0.1371777,0.26835212,0.793309,1.301191,1.4470253,1.1584424,0.6730668,0.3042837,0.22640456,0.40934765,0.6441209,0.73450255,0.64289254,0.4712924,0.38216275,0.46413282,0.64820486,0.78336436,0.74429965,0.5136328,0.20046797,-0.055382583,-0.18904452,-0.23797525,1
