Sample,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29,mfcc30,mfcc31,mfcc32,mfcc33,mfcc34,mfcc35,mfcc36,mfcc37,mfcc38,mfcc39,mfcc40,mfcc41,mfcc42,mfcc43,mfcc44,class
f0001.wav,-607.1527,99.96182,71.781136,37.45255,9.167416,-5.5475554,-6.5637465,0.25972855,7.338326,9.713492,7.0430965,2.5057797,-0.1701704,0.6008732,3.4964583,5.631619,4.81294,1.062232,-3.5420816,-6.4192004,-6.2368436,-3.652083,-0.64820766,0.92773455,0.54233927,-0.89722675,-1.9180735,-1.6206245,-0.24993397,1.1316756,1.5251735,0.7295832,-0.5838639,-1.4413686,-1.3005506,-0.3991472,0.49793357,0.7117493,0.14088401,-0.7182501,-1.195325,-0.96195656,-0.24846484,0.375406,-1
f0001.wav,-624.91034,67.871445,48.84933,25.214125,4.9957037,-6.431556,-8.260615,-3.706739,2.3969278,6.3216662,6.9720945,5.6064243,4.273342,4.163322,4.923042,5.203619,3.8724282,0.95775723,-2.3099422,-4.3150315,-4.110253,-1.983677,0.79380614,2.8016093,3.2906072,2.475554,1.1899734,0.2255391,-0.15944007,-0.26114845,-0.5441757,-1.1869358,-1.9047023,-2.1601067,-1.5809498,-0.26885346,1.2201953,2.2006605,2.2586641,1.4672503,0.29781085,-0.6839753,-1.125649,-1.0167323,-1
f0001.wav,-625.43774,87.20698,63.245846,39.70548,19.438356,6.449983,1.7424442,2.4900773,4.602054,5.2942357,3.7985182,1.4819411,0.11588773,0.48928583,2.0471933,3.3280785,3.182461,1.575205,-0.5476794,-1.9044265,-1.8388762,-0.6880413,0.5813046,1.0495635,0.4955262,-0.5403897,-1.242867,-1.0872531,-0.21280502,0.7409902,1.1292523,0.71908665,-0.1710959,-0.9465338,-1.1688137,-0.8055869,-0.21586059,0.15040462,0.06916053,-0.35414395,-0.7915022,-0.9519482,-0.77581745,-0.42948315,-1
f0001.wav,-593.2298,102.83733,69.98345,41.0356,17.314375,4.7051663,2.9822505,7.1207166,10.608857,9.771062,4.653321,-1.4055867,-4.8365765,-4.215343,-0.8440244,2.377574,3.1120558,1.0914178,-2.0838118,-4.1737733,-3.9544356,-1.9057765,0.37137893,1.3591644,0.67779714,-0.79268324,-1.7383659,-1.3730559,0.010560531,1.3546426,1.6866627,0.8025103,-0.61604714,-1.5340708,-1.3253521,-0.14809436,1.2098588,1.9225777,1.6869706,0.8373749,0.03624873,-0.22667521,0.044154946,0.45287445,-1
f0001.wav,-633.3296,65.965454,45.51796,25.44049,8.778637,0.6813443,0.7146001,5.214601,9.295459,9.969789,7.1963773,3.2779188,0.80707306,0.94710976,2.8633971,4.6326833,4.694023,2.8896346,0.38498583,-1.2697307,-1.2401754,0.13347165,1.7111611,2.42465,1.9598149,0.83466434,-0.11091359,-0.3520908,0.010714219,0.45384482,0.50849,0.1310665,-0.31405932,-0.39390486,0.018676884,0.6396288,0.99841005,0.80807114,0.18263489,-0.45410022,-0.69121367,-0.42607614,0.08016673,0.42216393,-1
f0001.wav,-620.0981,85.16645,65.45812,41.07111,20.228827,8.111847,4.9937153,7.129417,9.584464,9.170697,5.809103,1.7803844,-0.33609983,0.4578479,3.0532954,5.2120748,5.2030725,2.9225678,-0.19598809,-2.29148,-2.3509781,-0.77896696,1.0441879,1.8047124,1.1272479,-0.2956461,-1.3199425,-1.2056383,-0.09541585,1.1729919,1.7181346,1.2273037,0.10831007,-0.87469316,-1.1696557,-0.78772455,-0.21384348,0.01015541,-0.30476397,-0.888269,-1.2559482,-1.0960994,-0.5030726,0.10277137,-1
f0001.wav,-614.68933,85.56038,64.104095,39.09047,18.68465,6.7408695,2.963838,4.0218887,5.4657907,4.375797,0.76827925,-3.2647536,-5.430708,-4.741497,-2.0484645,0.7010384,1.9645349,1.5442386,0.35322627,-0.46037892,-0.33565646,0.3804677,0.8303602,0.42199296,-0.70908123,-1.8562732,-2.2932322,-1.8137673,-0.86448675,-0.15589695,-0.11580751,-0.6412116,-1.2534119,-1.4844079,-1.2280618,-0.7839522,-0.55774,-0.70736355,-1.0331403,-1.1617333,-0.87044996,-0.29850513,0.14419705,0.09443012,-1
f0001.wav,-621.4238,61.420425,44.257816,24.844103,10.097561,2.9580698,2.6166863,5.8090434,8.533951,8.214859,4.9791336,0.9621824,-1.5222764,-1.4608296,0.41632167,2.3094556,2.7166822,1.4455947,-0.49778998,-1.8187613,-1.8251808,-0.8029057,0.27233008,0.5017451,-0.27780727,-1.4614109,-2.1999907,-2.0133934,-1.0853596,-0.07626512,0.38994485,0.14979571,-0.47108984,-0.96586627,-1.0247912,-0.7349381,-0.46512395,-0.5270356,-0.9109898,-1.3110689,-1.3751891,-0.96848816,-0.27373058,0.3390124,-1
f0001.wav,-624.69,78.332275,58.00475,35.361023,16.349045,5.2033463,2.365847,4.479109,7.3145275,7.6986985,5.276164,1.8941543,-0.28300527,-0.23125514,1.3192512,2.7348745,2.6732104,1.0500716,-0.9893175,-2.0710242,-1.5455896,0.06770598,1.5430877,1.8276412,0.750226,-0.8901759,-1.9861,-1.8804832,-0.78502965,0.43415415,0.8972498,0.2903078,-0.9503779,-2.0216696,-2.316276,-1.7946724,-0.9448996,-0.37865388,-0.4108709,-0.868164,-1.2836232,-1.2690653,-0.78108716,-0.13417524,-1
f0001.wav,-665.3016,71.50219,54.154053,35.97035,19.67881,8.73456,3.9679344,3.554248,4.401785,4.429581,3.0647736,1.1911311,0.1446088,0.5161665,1.8399093,3.0360734,3.1362243,2.0008295,0.30428588,-1.0216522,-1.3925741,-0.9340592,-0.30751246,-0.14692193,-0.6398932,-1.4283419,-1.9069779,-1.7107759,-0.9635567,-0.1671451,0.14933036,-0.18542428,-0.89724994,-1.4995315,-1.635057,-1.3198731,-0.8978587,-0.74710214,-1.0016164,-1.4539065,-1.7090653,-1.4848698,-0.80998605,0.000133189,-1
